Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8096224k(3274140k free), swap 15733820k(4340300k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.842: [GC (Allocation Failure) 0.842: [DefNew: 896K->64K(960K), 0.0017022 secs] 1090K->762K(524224K), 0.0019308 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.950: [GC (Allocation Failure) 0.950: [DefNew: 960K->63K(960K), 0.0018996 secs] 1827K->1155K(524224K), 0.0020271 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.029: [GC (Allocation Failure) 1.029: [DefNew: 959K->63K(960K), 0.0013489 secs] 2107K->1432K(524224K), 0.0015348 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
1.085: [GC (Allocation Failure) 1.086: [DefNew: 959K->63K(960K), 0.0014938 secs] 2366K->1638K(524224K), 0.0016244 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.153: [GC (Allocation Failure) 1.153: [DefNew: 959K->64K(960K), 0.0014215 secs] 2578K->1857K(524224K), 0.0015573 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.254: [GC (Allocation Failure) 1.254: [DefNew: 960K->64K(960K), 0.0018048 secs] 2801K->2031K(524224K), 0.0019339 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.355: [GC (Allocation Failure) 1.355: [DefNew: 960K->63K(960K), 0.0017906 secs] 2938K->2313K(524224K), 0.0019383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.427: [GC (Allocation Failure) 1.427: [DefNew: 959K->64K(960K), 0.0017504 secs] 3291K->2502K(524224K), 0.0019098 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.478: [GC (Allocation Failure) 2.478: [DefNew: 960K->63K(960K), 0.0027065 secs] 3405K->2678K(524224K), 0.0028533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.544: [GC (Allocation Failure) 2.544: [DefNew: 959K->64K(960K), 0.0017263 secs] 3628K->2852K(524224K), 0.0018676 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2.637: [GC (Allocation Failure) 2.637: [DefNew: 960K->64K(960K), 0.0027076 secs] 3775K->3216K(524224K), 0.0028407 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.668: [GC (Allocation Failure) 2.668: [DefNew: 960K->14K(960K), 0.0012451 secs] 4301K->3418K(524224K), 0.0013959 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.721: [GC (Allocation Failure) 2.721: [DefNew: 910K->63K(960K), 0.0009237 secs] 4437K->3608K(524224K), 0.0010433 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.750: [GC (Allocation Failure) 2.750: [DefNew: 959K->64K(960K), 0.0015328 secs] 4583K->3808K(524224K), 0.0016809 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.779: [GC (Allocation Failure) 2.779: [DefNew: 960K->63K(960K), 0.0014101 secs] 5012K->4199K(524224K), 0.0015257 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.817: [GC (Allocation Failure) 2.817: [DefNew: 959K->64K(960K), 0.0011345 secs] 5231K->4412K(524224K), 0.0012340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.847: [GC (Allocation Failure) 2.847: [DefNew: 960K->64K(960K), 0.0020014 secs] 5349K->4635K(524224K), 0.0021123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.895: [GC (Allocation Failure) 2.895: [DefNew: 960K->64K(960K), 0.0034170 secs] 6057K->5593K(524224K), 0.0035504 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.924: [GC (Allocation Failure) 2.924: [DefNew: 960K->63K(960K), 0.0014653 secs] 6489K->5769K(524224K), 0.0015707 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.953: [GC (Allocation Failure) 2.953: [DefNew: 959K->64K(960K), 0.0026571 secs] 10962K->10468K(524224K), 0.0028083 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
